def_rank,team,games,wtd_def_ppg,def_ppg_2025,def_ppg_2024,sd_wk,boom_rate_2025,avg_pts_allowed_2025,sacks_pg_2025,tfl_pg_2025,three_and_out_pg_2025,trend_25_vs_24
1,SEA,51.0,13.099,14.341,11.953,10.357,0.412,17.176,2.765,5.235,2.294,2.39
2,HOU,51.0,13.079,14.235,11.9,7.792,0.412,17.353,2.765,5.412,3.118,2.34
3,CLE,51.0,11.876,12.947,9.265,10.828,0.412,22.294,3.118,6.882,2.882,3.68
4,DEN,51.0,11.657,10.788,14.288,6.582,0.353,18.294,4.0,4.824,3.0,-3.5
5,MIN,51.0,11.45,11.071,13.135,10.897,0.294,19.588,2.882,6.294,2.471,-2.06
6,PIT,51.0,11.316,11.165,11.635,8.331,0.294,22.765,2.824,5.235,1.765,-0.47
7,BUF,51.0,10.46,9.294,12.071,5.004,0.235,21.471,2.118,4.941,2.529,-2.78
8,JAX,51.0,9.992,11.788,6.353,6.334,0.529,19.765,1.882,4.529,2.176,5.44
9,PHI,51.0,9.904,9.971,10.071,5.87,0.412,19.118,2.471,4.176,1.941,-0.1
10,CHI,51.0,9.807,9.824,10.118,6.393,0.471,24.412,2.059,3.882,2.059,-0.29
11,NO,51.0,9.737,10.159,8.688,7.544,0.294,22.529,2.588,5.294,1.529,1.47
12,LA,51.0,9.635,10.141,9.729,6.814,0.235,20.353,2.765,3.882,2.588,0.41
13,ATL,51.0,9.598,10.112,9.218,6.757,0.412,23.588,3.353,5.588,1.824,0.89
14,BAL,51.0,9.199,8.1,10.053,8.05,0.235,23.412,1.765,3.882,1.471,-1.95
15,TB,51.0,9.149,8.965,9.235,8.428,0.294,24.176,2.176,4.882,1.529,-0.27
16,NE,51.0,9.115,11.088,5.488,6.7,0.412,18.824,2.0,5.118,2.0,5.6
17,IND,51.0,8.78,8.018,9.076,5.921,0.176,24.235,2.294,5.0,1.529,-1.06
18,LAC,51.0,8.676,8.618,8.906,5.276,0.353,20.0,2.647,5.294,2.176,-0.29
19,DET,51.0,8.548,8.335,9.135,7.027,0.353,24.294,2.824,3.941,2.529,-0.8
20,DAL,51.0,8.505,6.671,9.835,7.006,0.176,30.059,2.0,5.0,1.647,-3.16
21,MIA,51.0,8.145,8.035,6.682,6.661,0.353,24.941,2.294,4.353,2.353,1.35
22,ARI,51.0,7.939,7.982,8.712,8.173,0.235,28.706,1.765,4.118,1.471,-0.73
23,TEN,51.0,7.827,8.6,6.324,8.409,0.294,28.118,2.471,4.882,2.529,2.28
24,GB,51.0,7.818,6.088,10.924,4.889,0.118,21.176,2.118,4.235,1.824,-4.84
25,NYG,51.0,7.779,6.829,8.324,6.214,0.118,25.824,2.235,5.353,1.588,-1.49
26,LV,51.0,7.591,7.547,5.918,6.002,0.176,25.412,2.118,6.176,2.706,1.63
27,CIN,51.0,7.565,6.4,9.388,4.757,0.118,28.941,2.0,3.294,1.765,-2.99
28,KC,51.0,7.549,6.424,8.641,3.815,0.118,19.294,1.941,4.353,1.882,-2.22
29,WAS,51.0,7.538,7.141,8.906,5.928,0.176,26.529,2.471,4.059,1.529,-1.76
30,NYJ,51.0,7.228,5.894,7.624,7.602,0.176,29.588,1.529,4.529,2.353,-1.73
31,SF,51.0,6.946,5.994,7.671,5.984,0.118,21.824,1.176,3.824,1.941,-1.68
32,CAR,51.0,6.28,7.324,4.388,6.643,0.176,22.353,1.765,3.824,1.647,2.94
