team,week,opponent,is_home,gameday,bye
ARI,1,LAC,False,2026-09-13,False
ARI,2,SEA,True,2026-09-20,False
ARI,3,SF,False,2026-09-27,False
ARI,4,NYG,False,2026-10-04,False
ARI,5,DET,True,2026-10-11,False
ARI,6,LA,False,2026-10-18,False
ARI,7,DEN,True,2026-10-25,False
ARI,8,DAL,False,2026-11-01,False
ARI,9,SEA,False,2026-11-08,False
ARI,10,LA,True,2026-11-15,False
ARI,11,KC,False,2026-11-22,False
ARI,12,WAS,True,2026-11-29,False
ARI,13,PHI,True,2026-12-06,False
ARI,14,BYE,,,True
ARI,15,NYJ,True,2026-12-20,False
ARI,16,NO,False,2026-12-27,False
ARI,17,LV,True,2027-01-03,False
ARI,18,SF,True,2027-01-10,False
ATL,1,PIT,False,2026-09-13,False
ATL,2,CAR,True,2026-09-20,False
ATL,3,GB,False,2026-09-24,False
ATL,4,NO,False,2026-10-05,False
ATL,5,BAL,True,2026-10-11,False
ATL,6,CHI,True,2026-10-18,False
ATL,7,SF,True,2026-10-25,False
ATL,8,TB,False,2026-11-01,False
ATL,9,CIN,True,2026-11-08,False
ATL,10,KC,True,2026-11-15,False
ATL,11,BYE,,,True
ATL,12,MIN,False,2026-11-29,False
ATL,13,DET,True,2026-12-06,False
ATL,14,CLE,False,2026-12-13,False
ATL,15,WAS,False,2026-12-20,False
ATL,16,TB,True,2026-12-27,False
ATL,17,NO,True,2027-01-03,False
ATL,18,CAR,False,2027-01-10,False
BAL,1,IND,False,2026-09-13,False
BAL,2,NO,True,2026-09-20,False
BAL,3,DAL,False,2026-09-27,False
BAL,4,TEN,True,2026-10-04,False
BAL,5,ATL,False,2026-10-11,False
BAL,6,CLE,False,2026-10-18,False
BAL,7,CIN,True,2026-10-25,False
BAL,8,BUF,False,2026-11-01,False
BAL,9,JAX,True,2026-11-05,False
BAL,10,LAC,True,2026-11-16,False
BAL,11,CAR,False,2026-11-22,False
BAL,12,HOU,False,2026-11-29,False
BAL,13,BYE,,,True
BAL,14,TB,True,2026-12-13,False
BAL,15,PIT,False,2026-12-20,False
BAL,16,CLE,True,2026-12-27,False
BAL,17,CIN,False,2026-12-31,False
BAL,18,PIT,True,2027-01-10,False
BUF,1,HOU,False,2026-09-13,False
BUF,2,DET,True,2026-09-17,False
BUF,3,LAC,True,2026-09-27,False
BUF,4,NE,True,2026-10-04,False
BUF,5,LA,False,2026-10-12,False
BUF,6,LV,False,2026-10-18,False
BUF,7,BYE,,,True
BUF,8,BAL,True,2026-11-01,False
BUF,9,MIN,False,2026-11-09,False
BUF,10,NYJ,False,2026-11-15,False
BUF,11,MIA,True,2026-11-22,False
BUF,12,KC,True,2026-11-26,False
BUF,13,NE,False,2026-12-06,False
BUF,14,GB,False,2026-12-13,False
BUF,15,CHI,True,2026-12-19,False
BUF,16,DEN,False,2026-12-25,False
BUF,17,MIA,False,2027-01-03,False
BUF,18,NYJ,True,2027-01-10,False
CAR,1,CHI,True,2026-09-13,False
CAR,2,ATL,False,2026-09-20,False
CAR,3,CLE,False,2026-09-27,False
CAR,4,DET,True,2026-10-04,False
CAR,5,BYE,,,True
CAR,6,PHI,False,2026-10-18,False
CAR,7,TB,True,2026-10-25,False
CAR,8,GB,False,2026-10-29,False
CAR,9,DEN,True,2026-11-08,False
CAR,10,NO,False,2026-11-15,False
CAR,11,BAL,True,2026-11-22,False
CAR,12,TB,False,2026-11-30,False
CAR,13,MIN,False,2026-12-06,False
CAR,14,NO,True,2026-12-13,False
CAR,15,CIN,True,2026-12-20,False
CAR,16,PIT,False,2026-12-27,False
CAR,17,SEA,True,2027-01-03,False
CAR,18,ATL,True,2027-01-10,False
CHI,1,CAR,False,2026-09-13,False
CHI,2,MIN,True,2026-09-20,False
CHI,3,PHI,True,2026-09-28,False
CHI,4,NYJ,True,2026-10-04,False
CHI,5,GB,False,2026-10-11,False
CHI,6,ATL,False,2026-10-18,False
CHI,7,NE,True,2026-10-22,False
CHI,8,SEA,False,2026-11-02,False
CHI,9,TB,True,2026-11-08,False
CHI,10,BYE,,,True
CHI,11,NO,True,2026-11-22,False
CHI,12,DET,False,2026-11-26,False
CHI,13,JAX,True,2026-12-06,False
CHI,14,MIA,False,2026-12-13,False
CHI,15,BUF,False,2026-12-19,False
CHI,16,GB,True,2026-12-25,False
CHI,17,DET,True,2027-01-03,False
CHI,18,MIN,False,2027-01-10,False
CIN,1,TB,True,2026-09-13,False
CIN,2,HOU,False,2026-09-20,False
CIN,3,PIT,False,2026-09-27,False
CIN,4,JAX,True,2026-10-04,False
CIN,5,MIA,False,2026-10-11,False
CIN,6,BYE,,,True
CIN,7,BAL,False,2026-10-25,False
CIN,8,TEN,True,2026-11-01,False
CIN,9,ATL,False,2026-11-08,False
CIN,10,PIT,True,2026-11-15,False
CIN,11,WAS,False,2026-11-23,False
CIN,12,NO,True,2026-11-29,False
CIN,13,CLE,False,2026-12-06,False
CIN,14,KC,True,2026-12-13,False
CIN,15,CAR,False,2026-12-20,False
CIN,16,IND,False,2026-12-27,False
CIN,17,BAL,True,2026-12-31,False
CIN,18,CLE,True,2027-01-10,False
CLE,1,JAX,False,2026-09-13,False
CLE,2,TB,False,2026-09-20,False
CLE,3,CAR,True,2026-09-27,False
CLE,4,PIT,True,2026-10-01,False
CLE,5,NYJ,False,2026-10-11,False
CLE,6,BAL,True,2026-10-18,False
CLE,7,TEN,False,2026-10-25,False
CLE,8,PIT,False,2026-11-01,False
CLE,9,NO,False,2026-11-08,False
CLE,10,HOU,True,2026-11-15,False
CLE,11,BYE,,,True
CLE,12,LV,True,2026-11-29,False
CLE,13,CIN,True,2026-12-06,False
CLE,14,ATL,True,2026-12-13,False
CLE,15,NYG,False,2026-12-20,False
CLE,16,BAL,False,2026-12-27,False
CLE,17,IND,True,2027-01-03,False
CLE,18,CIN,False,2027-01-10,False
DAL,1,NYG,False,2026-09-13,False
DAL,2,WAS,True,2026-09-20,False
DAL,3,BAL,True,2026-09-27,False
DAL,4,HOU,False,2026-10-04,False
DAL,5,TB,True,2026-10-08,False
DAL,6,GB,False,2026-10-18,False
DAL,7,PHI,False,2026-10-26,False
DAL,8,ARI,True,2026-11-01,False
DAL,9,IND,False,2026-11-08,False
DAL,10,SF,True,2026-11-15,False
DAL,11,TEN,True,2026-11-22,False
DAL,12,PHI,True,2026-11-26,False
DAL,13,SEA,False,2026-12-07,False
DAL,14,BYE,,,True
DAL,15,LA,False,2026-12-20,False
DAL,16,JAX,True,2026-12-27,False
DAL,17,NYG,True,2027-01-03,False
DAL,18,WAS,False,2027-01-10,False
DEN,1,KC,False,2026-09-14,False
DEN,2,JAX,True,2026-09-20,False
DEN,3,LA,True,2026-09-27,False
DEN,4,SF,False,2026-10-04,False
DEN,5,LAC,False,2026-10-11,False
DEN,6,SEA,True,2026-10-15,False
DEN,7,ARI,False,2026-10-25,False
DEN,8,KC,True,2026-11-01,False
DEN,9,CAR,False,2026-11-08,False
DEN,10,BYE,,,True
DEN,11,LV,True,2026-11-22,False
DEN,12,PIT,False,2026-11-27,False
DEN,13,MIA,True,2026-12-06,False
DEN,14,NYJ,False,2026-12-13,False
DEN,15,LV,False,2026-12-20,False
DEN,16,BUF,True,2026-12-25,False
DEN,17,NE,False,2027-01-03,False
DEN,18,LAC,True,2027-01-10,False
DET,1,NO,True,2026-09-13,False
DET,2,BUF,False,2026-09-17,False
DET,3,NYJ,True,2026-09-27,False
DET,4,CAR,False,2026-10-04,False
DET,5,ARI,False,2026-10-11,False
DET,6,BYE,,,True
DET,7,GB,True,2026-10-25,False
DET,8,MIN,True,2026-11-01,False
DET,9,MIA,False,2026-11-08,False
DET,10,NE,True,2026-11-15,False
DET,11,TB,True,2026-11-22,False
DET,12,CHI,True,2026-11-26,False
DET,13,ATL,False,2026-12-06,False
DET,14,TEN,True,2026-12-13,False
DET,15,MIN,False,2026-12-20,False
DET,16,NYG,True,2026-12-28,False
DET,17,CHI,False,2027-01-03,False
DET,18,GB,False,2027-01-10,False
GB,1,MIN,False,2026-09-13,False
GB,2,NYJ,False,2026-09-20,False
GB,3,ATL,True,2026-09-24,False
GB,4,TB,False,2026-10-04,False
GB,5,CHI,True,2026-10-11,False
GB,6,DAL,True,2026-10-18,False
GB,7,DET,False,2026-10-25,False
GB,8,CAR,True,2026-10-29,False
GB,9,NE,False,2026-11-08,False
GB,10,MIN,True,2026-11-15,False
GB,11,BYE,,,True
GB,12,LA,False,2026-11-25,False
GB,13,NO,False,2026-12-06,False
GB,14,BUF,True,2026-12-13,False
GB,15,MIA,True,2026-12-20,False
GB,16,CHI,False,2026-12-25,False
GB,17,HOU,True,2027-01-04,False
GB,18,DET,True,2027-01-10,False
HOU,1,BUF,True,2026-09-13,False
HOU,2,CIN,True,2026-09-20,False
HOU,3,IND,False,2026-09-27,False
HOU,4,DAL,True,2026-10-04,False
HOU,5,TEN,False,2026-10-11,False
HOU,6,JAX,False,2026-10-18,False
HOU,7,NYG,True,2026-10-25,False
HOU,8,BYE,,,True
HOU,9,LAC,False,2026-11-08,False
HOU,10,CLE,False,2026-11-15,False
HOU,11,IND,True,2026-11-19,False
HOU,12,BAL,True,2026-11-29,False
HOU,13,PIT,False,2026-12-06,False
HOU,14,WAS,False,2026-12-13,False
HOU,15,JAX,True,2026-12-20,False
HOU,16,PHI,False,2026-12-24,False
HOU,17,GB,False,2027-01-04,False
HOU,18,TEN,True,2027-01-10,False
IND,1,BAL,True,2026-09-13,False
IND,2,KC,False,2026-09-20,False
IND,3,HOU,True,2026-09-27,False
IND,4,WAS,False,2026-10-04,False
IND,5,PIT,False,2026-10-11,False
IND,6,TEN,True,2026-10-18,False
IND,7,MIN,False,2026-10-25,False
IND,8,JAX,False,2026-11-01,False
IND,9,DAL,True,2026-11-08,False
IND,10,MIA,True,2026-11-15,False
IND,11,HOU,False,2026-11-19,False
IND,12,NYG,True,2026-11-29,False
IND,13,BYE,,,True
IND,14,PHI,False,2026-12-13,False
IND,15,TEN,False,2026-12-20,False
IND,16,CIN,True,2026-12-27,False
IND,17,CLE,False,2027-01-03,False
IND,18,JAX,True,2027-01-10,False
JAX,1,CLE,True,2026-09-13,False
JAX,2,DEN,False,2026-09-20,False
JAX,3,NE,True,2026-09-27,False
JAX,4,CIN,False,2026-10-04,False
JAX,5,PHI,True,2026-10-11,False
JAX,6,HOU,True,2026-10-18,False
JAX,7,BYE,,,True
JAX,8,IND,True,2026-11-01,False
JAX,9,BAL,False,2026-11-05,False
JAX,10,TEN,False,2026-11-15,False
JAX,11,NYG,False,2026-11-22,False
JAX,12,TEN,True,2026-11-29,False
JAX,13,CHI,False,2026-12-06,False
JAX,14,PIT,True,2026-12-14,False
JAX,15,HOU,False,2026-12-20,False
JAX,16,DAL,False,2026-12-27,False
JAX,17,WAS,True,2027-01-03,False
JAX,18,IND,False,2027-01-10,False
