Matchup,Team,Manager,Slot,Player,Pos,Projected,Actual
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,J. Allen,QB - BUF,21.27,40.66
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,B. Purdy,QB - SF,21.01,27.1
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,J. Taylor,RB - IND,17.01,23.6
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,J. Gibbs,RB - DET,19.6,32.1
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,R. Dowdle,RB - PIT,11.2,3.1
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,Q. Judkins,RB - CLE,9.82,6.0
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,D. Adams,WR - LAR,10.57,4.1
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,L. Burden,WR - CHI,10.74,7.0
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,D. Samuel,WR - SF,8.35,18.7
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,J. Downs,WR - IND,9.96,4.7
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,D. Metcalf,WR - PIT,9.64,6.0
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,L. McConkey,WR - LAC,10.95,16.7
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,C. Sutton,WR - DEN,8.47,2.1
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,C. Rodriguez,RB - JAX,7.24,2.3
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Starter,SEA,DEF - SEA,8.99,13.0
ValKilmersComeback vs tacocats,tacocats,ben_g,Starter,LAC,DEF - LAC,9.07,-0.6
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Bench,K. Murray,QB - MIN,20.34,-0.38
ValKilmersComeback vs tacocats,tacocats,ben_g,Bench,M. Willis,QB - MIA,17.07,15.7
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Bench,W. Marks,RB - HOU,8.12,8.4
ValKilmersComeback vs tacocats,tacocats,ben_g,Bench,K. Johnson,RB - GB,2.8,2.6
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Bench,D. Boston,WR - CLE,5.72,13.9
ValKilmersComeback vs tacocats,tacocats,ben_g,Bench,M. Lemon,WR - PHI,5.52,1.0
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Bench,J. Meyers,WR - JAX,8.43,11.2
ValKilmersComeback vs tacocats,tacocats,ben_g,Bench,C. Allen,WR - KC,1.1,0.0
ValKilmersComeback vs tacocats,ValKilmersComeback,Mockstar,Bench,J. Jennings,WR - MIN,6.95,0.0
